"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Rorrz","Runecloth","ffffffff","1","White","1","https://classicdb.ch/?item=14047","2017.10.19"
"Rorrz","Ancient Qiraji Artifact","ffffffff","2","White","1","https://classicdb.ch/?item=21230","2018.02.11"
"Rorrz","Bloodfang Spaulders","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16832","2017.12.28"
"Rorrz","Zulian Tigerhide Cloak","ff0070dd","1","Blue","3","https://classicdb.ch/?item=19907","2017.09.19"
"Rorrz","Nightslayer Chestpiece","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16820","2017.10.22"
"Rorrz","Wildvine","ffffffff","1","White","1","https://classicdb.ch/?item=8153","2017.11.17"
"Rorrz","Vis'kag the Bloodletter","ffa335ee","1","Epic","4","https://classicdb.ch/?item=17075","2017.10.22"
"Rorrz","Sayge's Fortune #18","ffffffff","1","White","1","https://classicdb.ch/?item=19252","2017.10.05"
"Rorrz","Qiraji Lord's Insignia","ffffffff","4","White","1","https://classicdb.ch/?item=21229","2018.02.11"
"Rorrz","Ancient Qiraji Artifact","ffffffff","1","White","1","https://classicdb.ch/?item=21230","2018.01.04"
"Rorrz","Chromatically Tempered Sword","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19352","2017.12.21"
"Rorrz","Cloak of Firemaw","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19398","2018.01.28"
"Rorrz","Mountain Silversage","ffffffff","3","White","1","https://classicdb.ch/?item=13465","2017.11.17"
"Rorrz","Golden Sansam","ffffffff","1","White","1","https://classicdb.ch/?item=13464","2017.11.17"
"Rorrz","Star Ruby","ff1eff00","1","Green","2","https://classicdb.ch/?item=7910","2017.10.15"
"Rorrz","Purple Lotus","ffffffff","1","White","1","https://classicdb.ch/?item=8831","2017.11.17"
"Rorrz","Bloodvine","ff1eff00","1","Green","2","https://classicdb.ch/?item=19726","2017.11.17"
"Rorrz","Bloodfang Gloves","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16907","2017.10.05"
"Rorrz","Ancient Qiraji Artifact","ffffffff","6","White","1","https://classicdb.ch/?item=21230","2018.01.25"
"Rorrz","Qiraji Lord's Insignia","ffffffff","3","White","1","https://classicdb.ch/?item=21229","2018.01.25"
